CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
85	2	19	9.52	21
86	1	14	6.67	15
87	2	22	8.33	24
88	0	22	0.00	22
89	0	30	0.00	30
90	1	43	2.27	44
91	0	38	0.00	38
92	1	24	4.00	25
93	0	12	0.00	12
94	1	18	5.26	19

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	3	25.00	4
2	1	0	100.00	1
3	0	1	0.00	1
4	0	0		0
5	0	0		0
6	1	2	33.33	3
7	0	4	0.00	4
8	2	1	66.67	3
9	0	1	0.00	1
10	1	2	33.33	3
11	1	0	100.00	1
12	1	0	100.00	1
13	2	0	100.00	2
14	0	3	0.00	3
15	0	0		0
16	2	0	100.00	2
17	0	0		0
18	1	1	50.00	2
19	1	0	100.00	1
20	0	3	0.00	3
21	0	0		0
22	0	0		0
23	1	0	100.00	1
24	1	1	50.00	2
25	0	0		0
26	0	0		0
27	0	1	0.00	1
28	0	0		0
29	3	0	100.00	3
30	2	0	100.00	2
31	0	2	0.00	2
32	0	0		0
33	0	1	0.00	1
34	0	0		0
35	0	0		0
36	1	0	100.00	1
37	1	0	100.00	1
38	1	0	100.00	1
39	0	0		0
40	0	1	0.00	1
41	2	0	100.00	2
42	0	0		0
43	1	0	100.00	1
44	0	2	0.00	2
45	0	0		0
46	0	0		0
47	0	2	0.00	2
48	2	1	66.67	3
49	0	1	0.00	1
50	0	0		0
51	0	1	0.00	1
52	0	0		0
53	0	0		0
54	0	0		0
55	1	1	50.00	2
56	0	0		0
57	0	2	0.00	2
58	1	1	50.00	2
59	0	0		0
60	0	1	0.00	1
61	0	0		0
62	0	0		0
63	1	1	50.00	2
64	0	2	0.00	2
65	0	0		0
66	0	0		0
67	1	0	100.00	1
68	0	0		0
69	1	0	100.00	1
70	2	0	100.00	2
71	1	1	50.00	2
72	0	0		0
73	0	0		0
74	0	1	0.00	1
75	0	0		0
76	0	0		0
77	0	2	0.00	2
78	1	0	100.00	1
79	1	3	25.00	4
80	0	0		0
81	0	0		0
82	0	0		0
83	0	1	0.00	1
84	0	0		0
85	0	0		0
86	0	0		0
87	0	1	0.00	1
88	0	1	0.00	1
89	1	0	100.00	1

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	22	0.00	22
2	0	13	0.00	13
3	1	5	16.67	6
4	0	4	0.00	4
5	0	3	0.00	3
6	0	19	0.00	19
7	0	8	0.00	8
8	0	10	0.00	10
9	0	8	0.00	8
10	1	2	33.33	3
11	0	7	0.00	7
12	0	3	0.00	3
13	0	7	0.00	7
14	0	6	0.00	6
15	0	6	0.00	6
16	2	2	50.00	4
17	0	6	0.00	6
18	0	21	0.00	21
19	0	2	0.00	2
20	0	8	0.00	8
21	0	11	0.00	11
22	0	7	0.00	7
23	0	5	0.00	5
24	0	5	0.00	5
25	0	7	0.00	7
26	2	4	33.33	6
27	0	8	0.00	8
28	0	7	0.00	7
29	0	7	0.00	7
30	0	9	0.00	9
31	0	3	0.00	3
32	0	4	0.00	4
33	0	2	0.00	2
34	0	7	0.00	7
35	0	10	0.00	10
36	1	10	9.09	11
37	0	9	0.00	9
38	0	4	0.00	4
39	0	5	0.00	5
40	0	4	0.00	4
41	0	4	0.00	4
42	0	2	0.00	2
43	0	11	0.00	11
44	0	11	0.00	11
45	0	4	0.00	4
46	1	2	33.33	3
47	0	2	0.00	2
48	0	4	0.00	4
49	0	5	0.00	5
50	0	2	0.00	2
51	0	5	0.00	5
52	0	6	0.00	6
53	0	3	0.00	3
54	0	2	0.00	2
55	0	3	0.00	3
56	0	7	0.00	7
57	0	3	0.00	3
58	2	9	18.18	11
59	0	2	0.00	2
60	0	6	0.00	6
61	0	2	0.00	2
62	0	3	0.00	3
63	0	5	0.00	5
64	0	8	0.00	8
65	0	3	0.00	3
66	0	2	0.00	2
67	0	3	0.00	3
68	1	1	50.00	2
69	0	2	0.00	2
70	0	7	0.00	7
71	0	1	0.00	1
72	0	2	0.00	2
73	0	1	0.00	1
74	0	5	0.00	5
75	1	1	50.00	2
76	2	3	40.00	5
77	0	1	0.00	1
78	0	4	0.00	4
79	0	3	0.00	3
80	0	4	0.00	4
81	0	4	0.00	4
82	1	9	10.00	10
83	0	1	0.00	1
84	0	2	0.00	2
85	0	3	0.00	3
86	0	4	0.00	4
87	0	5	0.00	5
88	0	3	0.00	3
89	0	2	0.00	2

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2	33	5.71	35
2	1	30	3.23	31
3	0	31	0.00	31
4	1	20	4.76	21
5	0	26	0.00	26
6	0	36	0.00	36
7	0	22	0.00	22
8	0	25	0.00	25
9	0	29	0.00	29
10	1	15	6.25	16
11	0	20	0.00	20
12	0	10	0.00	10
13	0	8	0.00	8
14	1	17	5.56	18
15	1	36	2.70	37
16	0	25	0.00	25
17	0	22	0.00	22
18	1	12	7.69	13
19	0	12	0.00	12
20	1	10	9.09	11
21	0	17	0.00	17
22	1	31	3.12	32
23	0	17	0.00	17
24	1	25	3.85	26
25	0	11	0.00	11
26	0	10	0.00	10
27	1	13	7.14	14
28	0	14	0.00	14
29	2	28	6.67	30
30	0	18	0.00	18
31	1	29	3.33	30
32	0	11	0.00	11
33	0	16	0.00	16
34	0	11	0.00	11
35	1	12	7.69	13
36	1	19	5.00	20
37	1	17	5.56	18
38	0	17	0.00	17
39	1	22	4.35	23
40	0	21	0.00	21
41	0	14	0.00	14
42	0	11	0.00	11
43	1	15	6.25	16
44	0	10	0.00	10
45	0	21	0.00	21
46	2	12	14.29	14
47	0	9	0.00	9
48	0	9	0.00	9
49	0	13	0.00	13
50	0	12	0.00	12
51	0	11	0.00	11
52	0	14	0.00	14
53	0	12	0.00	12
54	1	12	7.69	13
55	0	12	0.00	12
56	0	9	0.00	9
57	0	11	0.00	11
58	2	14	12.50	16
59	0	14	0.00	14
60	0	22	0.00	22
61	0	13	0.00	13
62	0	17	0.00	17
63	1	7	12.50	8
64	0	8	0.00	8
65	0	14	0.00	14
66	0	18	0.00	18
67	0	6	0.00	6
68	0	8	0.00	8
69	0	15	0.00	15
70	0	9	0.00	9
71	0	10	0.00	10
72	0	13	0.00	13
73	1	9	10.00	10
74	0	11	0.00	11
75	2	13	13.33	15
76	0	6	0.00	6
77	0	9	0.00	9
78	0	10	0.00	10
79	0	7	0.00	7
80	0	5	0.00	5
81	2	6	25.00	8
82	0	5	0.00	5
83	0	9	0.00	9
84	0	7	0.00	7
85	1	10	9.09	11
86	2	5	28.57	7
87	3	13	18.75	16
88	0	15	0.00	15
89	0	7	0.00	7

